country_code,year,gdp_per_capita
MAR,2020,3268.0302734375
MOZ,2020,462.433876479921
MMR,2020,1490.21683599469
NAM,2020,3878.58982993966
NRU,2020,10709.068810538
NPL,2020,1154.21517578318
NLD,2020,53467.9277413737
NCL,2020,33270.330597637
NZL,2020,41997.7830324279
NIC,2020,1938.44704754382
NER,2020,579.512495758236
NGA,2020,2797.18458068686
MKD,2020,6659.59651070776
MNP,2020,18220.8382427201
NOR,2020,68340.0181033702
OMN,2020,16784.8630630058
PAK,2020,1278.39735206896
PLW,2020,14708.2119536914
PAN,2020,13290.5608397749
PNG,2020,2429.61134585269
PRY,2020,5365.47220721104
PER,2020,6133.32552410183
PHL,2020,3227.57910235199
POL,2020,16150.9304813473
PRT,2020,22299.4044062173
PRI,2020,31427.1130762831
QAT,2020,51683.5681078949
ROU,2020,13009.1770573223
RUS,2020,10108.3271484375
RWA,2020,778.701498925026
WSM,2020,4099.59660548583
SMR,2020,44326.9556746411
STP,2020,2167.22001796925
SAU,2020,24338.8307301067
SEN,2020,1461.08720350553
SRB,2020,8098.70955668849
SYC,2020,14041.4754074575
SLE,2020,845.277557920549
SGP,2020,61410.0792630788
SXM,2020,30150.8998380477
SVK,2020,19735.4858280801
SVN,2020,25392.0651093612
SLB,2020,2063.32780991967
SOM,2020,518.16113333875
ZAF,2020,5580.60383075189
ESP,2020,27233.9426461608
LKA,2020,3847.60137695639
KNA,2020,18859.0190361046
LCA,2020,8411.07474936367
VCT,2020,8351.20324040982
SDN,2020,577.795227050781
SUR,2020,4755.39221710693
SWE,2020,52568.5726980146
CHE,2020,85897.7843338323
SYR,2020,572.355289831901
TJK,2020,834.311715460625
TZA,2020,1117.41528320313
THA,2020,6985.64393892574
TLS,2020,1630.86938521256
TGO,2020,863.468665870276
